OTU.ID,Sample,Proportion
OTU150,S008824,0.862116041
OTU956,S008824,0.044846416
OTU1199,S008824,0.016382253
OTU181,S008824,0.022730375
OTU776,S008824,0.005392491
OTU55764,S008824,0.010921502
OTU35295,S008824,6.83e-05
OTU26338,S008824,0.001228669
OTU8497,S008824,0.000136519
OTU16072,S008824,0.001228669
OTU2259,S008824,0.008805461
OTU24731,S008824,0.000409556
OTU13202,S008824,0.003481229
OTU52764,S008824,0.000341297
OTU4375,S008824,0.000614334
OTU8807,S008824,0.001365188
OTU1439,S008824,0.004095563
OTU47832,S008824,0.003208191
OTU30010,S008824,0.000136519
OTU2677,S008824,0.001433447
OTU1752,S008824,0.000204778
OTU5539,S008824,0.001774744
OTU3346,S008824,0.000204778
OTU4186,S008824,0.001706485
OTU14526,S008824,0.000887372
OTU53175,S008824,0.001569966
OTU13209,S008824,6.83e-05
OTU2700,S008824,0.000273038
OTU1023,S008824,0.000273038
OTU53045,S008824,0.000682594
OTU1790,S008824,0.000273038
OTU41409,S008824,6.83e-05
OTU79531,S008824,0.000136519
OTU60088,S008824,0.000204778
OTU105827,S008824,6.83e-05
OTU23860,S008824,6.83e-05
OTU91370,S008824,0.000204778
OTU1123,S008824,6.83e-05
OTU20785,S008824,6.83e-05
OTU17328,S008824,0.000136519
OTU38397,S008824,0.000204778
OTU14378,S008824,0.000136519
OTU15064,S008824,0.000204778
OTU82364,S008824,6.83e-05
OTU69608,S008824,6.83e-05
OTU85568,S008824,0.000136519
OTU52676,S008824,0.000136519
OTU3291,S008824,6.83e-05
OTU93076,S008824,6.83e-05
OTU17354,S008824,6.83e-05
OTU24667,S008824,6.83e-05
OTU73085,S008824,6.83e-05
OTU69806,S008824,6.83e-05
OTU38107,S008824,0.000136519
OTU69958,S008824,0.000136519
OTU13997,S008824,6.83e-05
OTU44623,S008824,0.000204778
OTU94337,S008824,0.000136519
OTU37026,S008824,6.83e-05
OTU150,S008825,0.086906062
OTU956,S008825,0.62288367
OTU1199,S008825,0.192586019
OTU20237,S008825,0.000409612
OTU181,S008825,0.001433643
OTU776,S008825,0.000136537
OTU252,S008825,0.000955762
OTU55764,S008825,0.005324959
OTU35295,S008825,0.001092299
OTU26338,S008825,0.016657564
OTU8497,S008825,0.009352813
OTU16072,S008825,0.019934462
OTU2259,S008825,0.00054615
OTU14879,S008825,0.000477881
OTU79705,S008825,0.00525669
OTU24731,S008825,0.000136537
OTU13202,S008825,0.000477881
OTU61757,S008825,0.000477881
OTU4375,S008825,0.000409612
OTU8807,S008825,0.000136537
OTU1439,S008825,0.000614418
OTU47832,S008825,0.000136537
OTU30010,S008825,0.004300928
OTU2677,S008825,0.000955762
OTU1752,S008825,0.00266248
OTU73930,S008825,0.000341344
OTU5518,S008825,0.000136537
OTU3346,S008825,6.83e-05
OTU4186,S008825,0.001092299
OTU14526,S008825,6.83e-05
OTU53175,S008825,0.000136537
OTU84913,S008825,0.001774986
OTU9489,S008825,0.001433643
OTU47141,S008825,0.00211633
OTU2700,S008825,0.000887493
OTU1023,S008825,0.000955762
OTU53045,S008825,6.83e-05
OTU1790,S008825,6.83e-05
OTU41409,S008825,0.000409612
OTU79531,S008825,0.001092299
OTU4227,S008825,0.000750956
OTU28083,S008825,0.008738394
OTU97283,S008825,0.000204806
OTU36484,S008825,0.000273075
OTU60088,S008825,0.000819224
OTU105827,S008825,0.000136537
OTU23860,S008825,0.000273075
OTU26541,S008825,0.000409612
OTU50986,S008825,0.000204806
OTU22483,S008825,0.000136537
OTU20785,S008825,0.000341344
OTU17328,S008825,6.83e-05
OTU102408,S008825,0.000136537
OTU37464,S008825,0.000136537
OTU60086,S008825,0.000341344
OTU42858,S008825,6.83e-05
OTU20438,S008825,0.000204806
OTU479,S008825,6.83e-05
OTU52676,S008825,0.000136537
OTU30087,S008825,0.000136537
OTU58978,S008825,6.83e-05
OTU47187,S008825,0.000204806
OTU27244,S008825,0.000273075
OTU1974,S008825,6.83e-05
OTU3203,S008825,0.000273075
OTU102257,S008825,6.83e-05
OTU36577,S008825,6.83e-05
OTU49872,S008825,6.83e-05
OTU17696,S008825,6.83e-05
OTU79956,S008825,6.83e-05
OTU99437,S008825,6.83e-05
OTU34969,S008825,0.000136537
OTU101920,S008825,6.83e-05
OTU150,S008826,0.566937644
OTU956,S008826,0.042761148
OTU1199,S008826,0.016540576
OTU181,S008826,4.7e-05
OTU58181,S008826,0.074808515
OTU776,S008826,0.00164466
OTU252,S008826,0.077017057
OTU55764,S008826,0.007988346
OTU26338,S008826,0.001080776
OTU8497,S008826,0.000469903
OTU16072,S008826,0.000798835
